CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
268,Georgia, , ,1.1967,1.0985,0.7495,0.2765,0.4391,0.4335,0.4701,0.4002,0.4103,0.3254,0.2772,0.278,0.3009,0.3218,0.3571,0.3199,0.3151,0.318,0.3083
276,Germany, ,0.4304,0.405,0.4026,0.3875,0.3804,0.3886,0.3702,0.3605,0.3403,0.3332,0.3376,0.3277,0.3308,0.3241,0.3144,0.304,0.2853,0.282,0.2779,0.2716
288,Ghana,0.2929,0.2863,0.2791,0.3031,0.319,0.3279,0.3326,0.3545,0.339,0.3322,0.3076,0.3254,0.3347,0.3264,0.2977,0.2661,0.334,0.3235,0.2656,0.2229,0.2495
300,Greece,0.4133,0.3727,0.4133,0.4208,0.4274,0.423,0.4195,0.4258,0.4278,0.4081,0.413,0.4059,0.3918,0.378,0.3675,0.365,0.341,0.3326,0.3319,0.3324,0.3196
308,Grenada,0.1818,0.1842,0.1961,0.208,0.2381,0.2497,0.2445,0.2555,0.2398,0.2401,0.2307,0.2393,0.244,0.2345,0.2248,0.2087,0.2321,0.2258,0.2442,0.2544,0.2616
320,Guatemala,0.1711,0.164,0.1863,0.1685,0.1958,0.1955,0.1762,0.1929,0.2116,0.2079,0.2228,0.2334,0.2346,0.2166,0.2323,0.2411,0.2301,0.2184,0.1914,0.1972,0.1798
324,Guinea,0.2053,0.2035,0.1971,0.1928,0.2063,0.2008,0.1956,0.1871,0.1753,0.1728,0.1696,0.166,0.161,0.1611,0.1575,0.1345,0.1313,0.1322,0.1264,0.1282,0.1266
624,Guinea-Bissau,0.206,0.1991,0.1993,0.2094,0.2029,0.1965,0.1785,0.1548,0.1402,0.1566,0.1145,0.1089,0.1096,0.1453,0.1524,0.1532,0.1585,0.1598,0.1422,0.1456,0.1449
328,Guyana,1.0056,0.9339,0.812,0.7532,0.8775,0.9272,0.8873,0.8752,0.9193,0.9084,0.8811,0.8537,0.8369,0.8379,0.8433,0.7576,0.6488,0.7354,0.7174,0.6931,0.7264
332,Haiti, ,0.0995,0.0958,0.074,0.0381,0.1085,0.1209,0.1533,0.1298,0.1366,0.1392,0.1613,0.1882,0.1781,0.2116,0.2171,0.216,0.2366,0.2382,0.2158,0.2138
340,Honduras,0.1995,0.2011,0.2171,0.1892,0.2246,0.2509,0.2472,0.2472,0.2687,0.2792,0.2802,0.3097,0.3183,0.3383,0.3466,0.3351,0.2917,0.3441,0.3262,0.3023,0.3032
348,Hungary,0.4626,0.529,0.505,0.5202,0.4881,0.4974,0.5184,0.4955,0.4682,0.4506,0.41,0.3938,0.3707,0.3759,0.3482,0.3383,0.3217,0.3136,0.3042,0.2906,0.2983
352,Iceland,0.3048,0.2712,0.2906,0.3121,0.3041,0.2942,0.3189,0.2894,0.2717,0.2569,0.2577,0.2407,0.2484,0.242,0.2313,0.2129,0.21,0.2011,0.1824,0.1891,0.1882
356,India,0.6533,0.6907,0.6954,0.6899,0.687,0.6793,0.6881,0.6888,0.6661,0.6556,0.6538,0.6321,0.6199,0.6001,0.5853,0.5604,0.5468,0.5334,0.5772,0.5823,0.5338
360,Indonesia,0.404,0.4457,0.4685,0.4714,0.4439,0.4161,0.4353,0.4574,0.3971,0.4536,0.4706,0.5083,0.506,0.4987,0.5061,0.485,0.4639,0.4747,0.4917,0.5163,0.4657
364,Iran,0.6206,0.5953,0.5736,0.6049,0.6786,0.6803,0.6426,0.6064,0.676,0.8208,0.7602,0.7847,0.736,0.7156,0.7275,0.7293,0.7483,0.7347,0.7591,0.7547, 
368,Iraq, , , , , , , ,0.9801,0.7704,0.6165,0.6457,0.8143,0.9031,1.6065,1.373,1.391,1.136,0.7065,0.9698,1.051,1.1205
372,Ireland,0.487,0.4758,0.461,0.4479,0.4432,0.4064,0.4022,0.3718,0.361,0.3453,0.3251,0.3313,0.3101,0.2949,0.2862,0.2691,0.255,0.2487,0.2474,0.2512,0.2484
376,Israel,0.4029,0.3828,0.4382,0.4517,0.4408,0.4763,0.4529,0.5106,0.4856,0.4652,0.4294,0.4514,0.436,0.443,0.41,0.3725,0.3863,0.3686,0.3784,0.3546,0.3565
