CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
512,Oman,11386,11771,12079,13458,15306,15896,15104,15486,16560,20708,21896,20286,25471,32391,27987,29893,39604,44587,41067,40264,57202
586,Pakistan,68566,68243,72790,78008,84840,84484,94447,94711,97663,100384,106449,108283,114084,118895,131601,136636,146075,158895,156676,157890,161396
585,Palau,235,235,114,110,110,114,117,117,117,117,117,183,183,191,187,191,202,209,209,209,216
591,Panama,2769,3245,4246,3942,4338,2985,4624,5647,5948,5669,5790,7008,5871,6153,5805,6839,7371,7125,7576,8636,9633
598,Papua New Guinea,2142,2065,2054,1995,2182,2039,2164,2556,2838,2464,2688,3231,3513,3968,4481,4613,4595,4903,3476,3333,3135
600,Paraguay,2263,2233,2622,2952,3498,3964,3751,4195,4503,4503,3689,3821,3898,4070,4089,3832,3986,4136,4353,4518,5075
604,Peru,21170,20418,20389,23557,23230,23883,24364,27407,27807,29358,30297,27165,27187,26380,31896,37136,35064,43208,41279,47356,57579
608,Philippines,41763,43931,48753,49482,54800,60711,62163,71158,69240,69160,73307,71052,71338,71532,74066,74832,67693,69669,75944,74785,81591
616,Poland,366773,361592,357283,352520,336161,346814,358823,351049,326935,317133,301691,302806,296932,304856,304988,303598,320004,315637,316125,298787,317254
620,Portugal,42196,43934,48195,46813,47568,51925,50733,53234,58056,64690,62966,62863,66820,61276,63175,65309,59108,60865,58357,57411,52361
634,Qatar,11775,17675,26802,30722,30223,30825,31826,36289,32402,31408,34730,30363,28482,36157,44393,51881,56736,67242,67997,66120,70531
498,Republic of Moldova, , ,20972,15629,12090,11192,11522,7099,6271,4503,3513,3715,3986,4290,4554,4895,4994,4686,4774,4547,4855
638,Reunion,1452,1720,1727,1756,1951,2145,2237,2347,2512,2369,3025,3190,3165,3121,3165,3590,3755,3997,4081,4250,4367
642,Romania,158862,137531,123263,120699,115415,127102,126691,114447,102232,89640,89985,95672,92174,95940,95401,95676,102595,100960,94645,80307,78745
643,Russian Federation, , ,2139720,1963939,1722555,1662526,1631907,1559238,1526744,1538835,1558112,1558013,1557665,1604973,1602963,1615688,1669618,1667598,1715639,1574368,1740776
646,Rwanda,682,631,638,642,620,612,631,653,642,671,686,689,689,682,689,528,528,557,543,576,594
659,Saint Kitts and Nevis,66,73,73,84,88,95,103,103,103,103,103,183,198,220,227,235,235,249,249,260,249
662,Saint Lucia,165,172,205,227,264,312,330,312,308,319,330,363,326,359,356,367,367,385,396,385,403
670,Saint Vincent and the Grenadines,81,77,84,103,121,132,136,136,165,169,158,180,187,194,194,198,202,202,202,202,209
882,Samoa,125,125,128,128,121,132,132,132,132,139,139,143,143,150,154,158,158,161,161,161,161
678,Sao Tome and Principe,48,48,48,48,48,48,48,48,48,48,48,51,59,66,73,77,84,84,84,92,99
682,Saudi Arabia,217948,267768,285535,313818,309018,236254,258751,216239,207681,226459,296935,297214,326407,327272,395834,397642,432739,393535,418240,431027,464481
686,Senegal,3183,3425,3480,3594,3902,3495,3740,3264,3429,3700,3938,4331,4547,5013,5280,5860,4789,5335,5442,5849,7059
688,Serbia, , , , , , , , , , , , , , , , ,53766,52251,51881,46127,45962
690,Seychelles,114,143,165,161,187,191,198,414,440,513,565,642,543,557,744,697,744,653,708,755,704
694,Sierra Leone,389,469,216,216,286,286,319,330,304,293,425,568,609,653,642,546,733,634,664,653,689
702,Singapore,46941,47425,50267,54627,65368,47110,55306,69240,57293,50069,49006,49541,47231,31133,28474,30359,30799,17866,19637,24767,13520
703,Slovakia, , ,12479,13165,13341,14404,14954,15860,15192,15233,14265,15163,15420,15500,15746,15867,16245,16212,17180,15310,15328
90,Solomon Islands,161,161,161,158,154,161,161,161,161,165,165,172,172,180,180,180,180,198,198,198,202
706,Somalia,18,4,11,11,11,11, , , , ,517,502,572,576,576,579,576,605,609,594,609
710,South Africa,333514,346337,324852,342549,358930,353458,358640,371328,372219,371034,368611,362743,347687,380811,427132,396117,424844,443648,465023,503941,460124
724,Spain,218865,225858,234057,219408,233559,241732,233423,252169,261563,282385,294434,297830,314519,321097,339429,353462,350037,358237,329286,288237,269675
144,Sri Lanka,3773,4063,5057,4903,5409,5798,6953,7506,7763,8537,10161,10246,11008,10660,11965,11643,11738,12457,11892,12831,12710
275,State of Palestine, , , , , , , ,396,601,649,792,1349,1155,1280,1867,2743,2266,2325,2054,2090,2365
736,Sudan (former),5559,5387,4756,2908,4444,4602,4268,5420,4697,5093,5534,6370,8119,9072,11382,10708,11503,12541,12589,14056,14173
740,Suriname,1811,2101,2112,2156,2164,2182,2131,2142,2164,2153,2127,2266,2252,2241,2292,2380,2442,2442,2442,2468,2384
748,Swaziland,425,326,264,132,484,455,341,1203,1214,1239,1188,1144,1126,1041,1030,1019,1016,1063,1093,1023,1023
752,Sweden,51129,53227,55229,52035,54539,50744,57700,51844,52977,51107,49794,51129,57425,54781,54521,51562,49571,48060,49105,43744,52515
756,Switzerland,42864,41998,43065,40762,41320,39233,39930,41466,41829,40700,39050,42963,40718,40205,40392,41375,41877,38019,40392,41598,38757
760,Syrian Arab Republic,37451,43194,44437,47117,48533,43997,44250,40968,50282,52379,51048,48786,39068,54286,51111,50634,53590,57429,67700,62112,61859
762,Tajikistan, , ,7220,5170,2354,2450,2827,2153,2497,2519,2237,2292,1881,2076,2563,2439,2655,3223,3033,2893,2860
764,Thailand,95833,105236,115188,130736,145470,167586,186966,193097,171066,182811,188355,202132,215975,232198,252345,256169,261211,262205,261838,276587,295282
807,Macedonia, , ,10777,10341,10469,10840,11742,10634,12625,11723,12064,11998,10935,11309,11192,11280,10939,11379,11848,11408,10873
626,Timor-Leste, , , , , , , , , , , , ,161,161,176,176,180,183,191,183,183
768,Togo,774,843,836,865,832,953,1060,986,1166,1536,1357,1162,1232,1463,1397,1338,1221,1316,1456,1503,1540
776,Tonga,77,92,88,103,106,110,110,114,110,128,121,143,147,176,172,158,176,154,161,172,158
780,Trinidad and Tobago,16960,21049,20986,16821,19853,20968,21782,19230,19318,22816,24514,25024,26890,27697,30993,28581,32152,46461,42541,48177,50682
788,Tunisia,13267,15489,15024,16502,15940,15735,16758,16945,18001,18331,19923,20818,21016,21397,22446,22801,23128,23869,25013,24807,25878
