CountryCode,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
504,Morocco,0,,,,,,,0.6,0.6,0.6,0.6,0.6,0.6,10.8,10.8,10.8,10.8,10.8,10.5,10.5,10.5,10.5,17,17
508,Mozambique,15.7,,,,,,,25.2,25.2,25.2,,30,30,30,30,34.8,34.8,34.8,34.8,34.8,39.2,39.2,39.2,39.2
104,Myanmar,,,,,,,,,,,,,,,,,,,,,,4.3,3.5,6
516,Namibia,6.9,,,,,,,18.1,22.2,22.2,22.2,25,25,26.4,26.4,25,26.9,26.9,26.9,26.9,26.9,24.4,24.4,24.4
520,Nauru,5.6,,,,,,,5.6,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
524,Nepal,6.1,,,,,,,3.4,3.4,3.4,5.9,5.9,5.9,,,,,17.3,17.3,33.2,33.2,33.2,33.2,33.2
528,Netherlands,21.3,,,,,,,31.3,31.3,36,36,36,36,36.7,36.7,36.7,36.7,36.7,39.3,41.3,42,40.7,40.7,38.7
554,New Zealand,14.4,,,,,,,29.2,29.2,29.2,29.2,30.8,30.8,29.2,28.3,28.3,32.2,32.2,33.1,33.6,33.6,33.6,32.2,32.2
558,Nicaragua,14.8,,,,,,,10.8,10.8,10.8,9.7,9.7,20.7,20.7,20.7,20.7,20.7,18.5,18.5,18.5,20.7,20.7,40.2,40.2
562,Niger,5.4,,,,,,,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,12.4,12.4,12.4,12.4,12.4,9.7,,13.3,13.3
566,Nigeria,,,,,,,,,,,,3.4,3.4,3.4,6.7,4.7,6.4,6.1,7,7,7,7,6.8,6.7
578,Norway,35.8,,,,,,,39.4,36.4,36.4,36.4,36.4,35.8,36.4,36.4,38.2,37.9,37.9,36.1,36.1,39.6,39.6,39.6,39.6
512,Oman,,,,,,,,,,,,,,,,2.4,2.4,2.4,0,0,0,0,1.2,1.2
586,Pakistan,10.1,,,,,,,,2.3,2.3,,,,21.6,21.6,21.3,21.3,21.3,21.1,22.5,22.2,22.2,22.5,22.5
585,Palau,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
591,Panama,7.5,,,,,,,9.7,9.7,9.7,,9.9,9.9,9.9,9.9,16.7,16.7,16.7,16.7,16.7,8.5,8.5,8.5,8.5
598,Papua New Guinea,0,,,,,,,0,1.8,1.8,1.8,1.8,1.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,2.7
600,Paraguay,5.6,,,,,,,2.5,2.5,,2.5,2.5,2.5,2.5,10,10,10,10,10,12.5,12.5,12.5,12.5,12.5
604,Peru,5.6,,,,,,,10.8,10.8,10.8,10.8,20,18.3,18.3,18.3,18.3,18.3,29.2,29.2,29.2,27.5,27.5,21.5,21.5
608,Philippines,9.1,,,,,,,10.8,11.1,12.4,12.4,11.3,17.8,17.8,17.8,15.3,15.7,15.3,20.5,20.5,21,22.1,22.9,22.9
616,Poland,13.5,,,,,,,13,13,13,13,13,20.2,20.2,20.2,20.2,20.4,20.4,20.4,20.2,20,20,23.7,23.7
620,Portugal,7.6,,,,,,,13,13,13,18.7,17.4,18.7,19.1,19.1,19.1,21.3,21.3,28.3,28.3,27.4,27.4,28.7,28.7
634,Qatar,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
498,Republic of Moldova,,,,,,,,4.8,4.8,,8.9,7.9,12.9,12.9,12.9,15.8,21.8,21.8,21.8,21.8,23.8,18.8,19.8,19.8
642,Romania,34.4,,,,,,,7,7.3,7.3,7.3,10.7,10.7,10.7,10.7,11.4,11.2,11.2,9.4,11.4,11.4,11.4,11.2,13.3
643,Russian Federation,,,,,,,,10.2,10.2,10.2,7.7,7.7,7.6,7.6,9.8,9.8,9.8,9.8,14,14,14,14,13.6,13.6
646,Rwanda,17.1,,,,,,,17.1,17.1,17.1,17.1,25.7,25.7,25.7,48.8,48.8,48.8,48.8,48.8,56.3,56.3,56.3,56.3,56.3
659,Saint Kitts and Nevis,6.7,,,,,,,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,0,0,0,6.7,6.7,6.7,6.7,6.7,6.7
662,Saint Lucia,0,,,,,,,0,11.8,11.8,11.1,11.1,,11.1,11.1,11.1,11.1,5.6,11.1,11.1,11.1,11.1,16.7,16.7
